iteration,trial,inducer_huv_deg,response_huv_deg,delta_hue_deg
1,9,240.0,58.8,178.8
1,10,180.0,4.9,-175.1
1,11,120.0,297.5,177.5
1,12,30.0,245.7,-144.3
1,1,0.0,173.8,173.8
1,2,90.0,271.3,-178.7
1,3,240.0,47.9,167.9
1,4,120.0,286.1,166.1
1,5,150.0,308.3,158.3
1,6,330.0,153.1,-176.9
1,7,210.0,13.1,163.1
1,8,30.0,235.6,-154.4
1,9,180.0,346.7,166.7
1,10,270.0,89.2,179.2
1,11,300.0,120.4,-179.6
1,12,60.0,260.7,-159.3
1,1,120.0,288.8,168.8
1,2,30.0,245.4,-144.6
1,3,0.0,184.6,-175.4
1,4,90.0,271.6,-178.4
1,5,180.0,356.9,176.9
1,6,330.0,151.1,-178.9
1,7,210.0,13.4,163.4
1,8,150.0,314.6,164.6
1,9,270.0,87.6,177.6
1,10,60.0,266.5,-153.5
1,11,300.0,116.9,176.9
1,12,240.0,57.8,177.8
1,1,120.0,285.3,165.3
1,2,0.0,183.2,-176.8
1,3,90.0,278.6,-171.4
1,4,180.0,1.7,-178.3
1,5,60.0,260.1,-159.9
1,6,150.0,321.2,171.2
1,7,30.0,250.8,-139.2
1,8,270.0,95.7,-174.3
1,9,300.0,128.8,-171.2
1,10,240.0,48.0,168.0
1,11,210.0,13.5,163.5
1,12,330.0,150.3,-179.7
1,1,330.0,141.6,171.6
1,2,210.0,22.7,172.7
1,3,0.0,178.7,178.7
1,4,180.0,358.1,178.1
1,5,240.0,53.8,173.8
1,6,300.0,111.2,171.2
1,7,90.0,271.7,-178.3
1,8,120.0,293.5,173.5
1,9,270.0,88.1,178.1
1,10,150.0,308.4,158.4
1,11,30.0,253.0,-137.0
1,12,60.0,258.9,-161.1
1,1,90.0,274.7,-175.3
1,2,270.0,100.3,-169.7
1,3,30.0,249.4,-140.6
1,4,60.0,253.4,-166.6
1,5,180.0,0.2,-179.8
1,6,0.0,166.7,166.7
1,7,330.0,144.3,174.3
1,8,120.0,285.3,165.3
1,9,300.0,112.3,172.3
1,10,240.0,60.4,-179.6
1,11,210.0,28.0,178.0
1,12,150.0,309.3,159.3
1,1,90.0,280.5,-169.5
1,2,270.0,91.5,-178.5
1,3,300.0,123.4,-176.6
1,4,210.0,11.1,161.1
1,5,0.0,180.0,180.0
1,6,150.0,313.0,163.0
1,7,240.0,56.7,176.7
1,8,30.0,239.9,-150.1
1,9,180.0,353.1,173.1
1,10,120.0,291.7,171.7
1,11,330.0,149.5,179.5
1,12,60.0,264.1,-155.9
1,1,60.0,274.0,-146.0
1,2,150.0,301.1,151.1
1,3,180.0,8.4,-171.6
1,4,0.0,175.0,175.0
1,5,270.0,99.7,-170.3
1,6,120.0,285.3,165.3
1,7,90.0,272.6,-177.4
1,8,300.0,125.5,-174.5
1,9,240.0,58.5,178.5
1,10,330.0,145.4,175.4
1,11,210.0,20.0,170.0
1,12,30.0,238.9,-151.1
1,1,262.501748,78.7,176.2
1,2,21.432639,235.3,-146.1
1,3,178.147136,358.8,-179.3
1,4,120.415757,298.3,177.9
1,5,92.480991,278.2,-174.3
1,6,57.075775,267.5,-149.6
1,7,148.612071,314.7,166.1
1,8,275.519967,100.6,-174.9
1,9,288.873889,114.0,-174.9
1,10,242.512421,63.6,-178.9
1,11,354.407611,170.5,176.1
1,12,314.22538,138.6,-175.6
1,1,300.0,128.3,-171.7
1,2,30.0,236.7,-153.3
1,3,330.0,150.8,-179.2
1,4,120.0,287.3,167.3
1,5,60.0,264.3,-155.7
1,6,0.0,181.7,-178.3
1,7,150.0,314.2,164.2
1,8,210.0,21.8,171.8
1,9,240.0,39.5,159.5
1,10,90.0,277.3,-172.7
1,11,180.0,348.8,168.8
1,12,270.0,89.6,179.6
